scenario_id,timestamp_min,ambient_temperature,humidity,wind_speed,coal_moisture,CO,CO2,O2,surface_temperature_mean,surface_temperature_max,hotspot_area,hotspot_x,hotspot_y,heating_rate,risk_score,risk_class,mitigation_status
S01,100,30.18,55.22,2.51,12.0,0.23,400.65,20.78,30.01,30.01,0,,,0.0045,0.78,NORMAL,0
S01,101,30.07,55.02,2.59,12.0,1.56,402.17,20.99,29.99,29.99,0,,,-0.0206,0.97,NORMAL,0
S01,102,29.8,55.17,2.47,12.0,2.93,399.19,20.82,29.92,29.92,0,,,-0.0719,2.27,NORMAL,0
S01,103,29.8,55.42,2.45,12.0,0.42,404.62,20.95,29.93,29.93,0,,,0.0078,0.93,NORMAL,0
S01,104,29.86,54.88,2.52,12.0,3.04,404.86,20.84,30.12,30.12,0,,,0.1913,4.95,NORMAL,0
S01,105,29.94,54.86,2.49,12.0,2.95,394.84,21.0,30.25,30.25,0,,,0.1314,3.53,NORMAL,0
S01,106,29.88,54.72,2.41,12.0,0.69,390.26,20.91,30.62,30.62,0,,,0.373,8.71,NORMAL,0
S01,107,29.76,55.74,2.41,12.0,1.84,397.19,20.95,30.65,30.65,0,,,0.0304,2.01,NORMAL,0
S01,108,29.82,54.99,2.41,12.0,1.03,397.74,20.92,30.39,30.39,0,,,-0.2662,6.4,NORMAL,0
S01,109,29.82,54.49,2.36,12.0,1.05,399.29,20.81,30.21,30.21,0,,,-0.1755,4.57,NORMAL,0
S01,110,29.66,55.36,2.67,12.0,1.52,397.12,20.87,30.29,30.29,0,,,0.0823,2.84,NORMAL,0
S01,111,30.09,55.21,2.62,12.0,1.35,400.34,20.84,30.19,30.19,0,,,-0.1048,2.83,NORMAL,0
S01,112,29.68,54.83,2.45,12.0,0.0,397.54,20.76,30.02,30.02,0,,,-0.1646,4.4,NORMAL,0
S01,113,29.95,54.65,2.52,12.0,1.62,398.89,20.89,29.97,29.97,0,,,-0.0572,1.7,NORMAL,0
S01,114,30.14,55.05,2.48,12.0,2.33,402.61,20.92,29.91,29.91,0,,,-0.0605,1.87,NORMAL,0
S01,115,30.04,55.03,2.51,12.0,4.79,407.31,20.82,29.69,29.69,0,,,-0.2203,5.61,NORMAL,0
S01,116,29.96,55.4,2.48,12.0,3.81,396.47,20.91,29.78,29.78,0,,,0.0971,2.67,NORMAL,0
S01,117,30.13,54.74,2.53,12.0,1.69,392.65,20.91,29.56,29.56,0,,,-0.223,5.01,NORMAL,0
S01,118,30.09,55.33,2.45,12.0,1.16,407.57,20.95,29.4,29.4,0,,,-0.1574,3.96,NORMAL,0
S01,119,30.33,55.42,2.52,12.0,2.72,396.45,20.81,29.24,29.24,0,,,-0.1594,3.97,NORMAL,0
S01,120,30.18,55.07,2.38,12.0,3.77,402.5,21.0,29.04,29.04,0,,,-0.2045,4.92,NORMAL,0
S02,0,29.6,51.97,1.99,10.0,4.73,402.3,20.9,29.78,29.8,0,,,0.0,0.76,NORMAL,0
S02,1,29.96,51.69,1.92,10.0,1.99,402.53,20.75,30.1,30.14,0,,,0.3269,7.31,NORMAL,0
S02,2,30.07,51.75,1.89,10.0,4.45,404.25,20.82,29.62,29.66,0,,,-0.4827,10.48,NORMAL,0
S02,3,30.08,52.37,2.05,10.0,5.71,406.02,20.89,30.02,30.06,0,,,0.3997,8.98,NORMAL,0
S02,4,30.21,52.38,2.06,10.0,3.59,404.47,20.89,30.13,30.16,0,,,0.1043,2.86,NORMAL,0
S02,5,30.83,52.34,2.06,10.0,1.39,402.48,20.83,30.15,30.19,0,,,0.0213,1.12,NORMAL,0
S02,6,30.3,51.86,1.97,10.0,3.24,403.13,20.72,30.22,30.29,0,,,0.0737,2.57,NORMAL,0
S02,7,29.66,52.32,1.89,10.0,2.65,404.11,20.88,30.12,30.2,0,,,-0.1029,3.45,NORMAL,0
S02,8,29.91,52.59,1.98,10.0,3.79,399.69,20.87,30.03,30.13,0,,,-0.0829,2.77,NORMAL,0
S02,9,29.16,51.38,2.01,10.0,4.39,399.31,20.91,30.29,30.37,0,,,0.2595,7.36,NORMAL,0
S02,10,30.27,52.23,2.09,10.0,2.13,408.46,20.8,30.13,30.21,0,,,-0.1588,4.43,NORMAL,0
S02,11,29.94,52.27,2.21,10.0,1.37,405.56,20.84,30.23,30.29,0,,,0.0984,3.47,NORMAL,0
S02,12,30.28,52.15,1.99,10.0,2.84,406.05,20.83,30.74,30.82,0,,,0.5107,11.85,NORMAL,0
S02,13,30.5,52.08,1.99,10.0,3.85,400.88,20.82,30.82,30.9,0,,,0.0801,3.32,NORMAL,0
S02,14,30.23,51.68,1.95,10.0,4.14,410.76,20.88,30.93,31.01,0,,,0.1085,4.6,NORMAL,0
S02,15,30.35,50.98,1.93,10.0,3.27,403.22,20.79,31.13,31.22,0,,,0.193,6.28,NORMAL,0
S02,16,29.81,51.63,2.04,10.0,2.95,400.32,20.83,30.9,31.0,0,,,-0.2229,7.07,NORMAL,0
S02,17,30.03,52.4,1.85,10.0,1.75,400.29,20.83,30.94,31.06,0,,,0.0408,3.25,NORMAL,0
S02,18,30.09,52.35,2.07,10.0,2.42,403.5,20.87,30.81,30.95,0,,,-0.1381,5.16,NORMAL,0
S02,19,29.72,51.69,2.12,10.0,3.84,410.98,20.96,31.35,31.51,0,,,0.5445,13.72,NORMAL,0
S02,20,29.6,52.23,2.0,10.0,3.72,406.06,20.88,31.15,31.32,0,,,-0.2006,7.6,NORMAL,0
S02,21,29.92,52.41,2.18,10.0,2.16,400.56,20.92,31.14,31.34,0,,,-0.0053,3.09,NORMAL,0
S02,22,29.63,52.38,1.95,10.0,2.65,397.59,20.96,31.45,31.69,0,,,0.3103,9.93,NORMAL,0
S02,23,29.76,52.7,1.97,10.0,0.78,403.48,20.86,31.74,31.99,0,,,0.2829,9.75,NORMAL,0
S02,24,30.37,52.22,1.94,10.0,4.45,406.37,20.78,31.55,31.84,0,,,-0.1896,7.68,NORMAL,0
S02,25,29.79,51.79,1.98,10.0,3.98,401.27,20.8,31.53,31.85,0,,,-0.0145,4.6,NORMAL,0
S02,26,30.11,52.65,2.11,10.0,3.08,404.32,20.85,31.77,32.14,0,,,0.2323,8.87,NORMAL,0
S02,27,30.15,52.93,2.08,10.0,0.97,400.66,20.93,31.77,32.15,0,,,0.0028,3.99,NORMAL,0
S02,28,29.85,51.55,1.93,10.0,,405.9,20.9,31.94,32.37,0,,,0.17,8.22,NORMAL,0
S02,29,30.02,51.33,2.03,10.0,5.77,406.4,20.74,32.12,32.57,0,,,0.1788,9.03,NORMAL,0
S02,30,29.7,52.39,1.91,10.0,1.29,404.97,20.94,32.2,32.66,0,,,0.0802,6.84,NORMAL,0
S02,31,30.36,52.43,1.98,10.0,3.93,394.18,20.89,32.36,32.84,0,,,0.1661,8.2,NORMAL,0
S02,32,29.73,52.75,2.04,10.0,2.44,398.44,20.81,32.56,33.06,0,,,0.2012,9.81,NORMAL,0
S02,33,30.31,51.79,2.07,10.0,3.75,407.63,20.86,32.61,33.12,0,,,0.0448,6.53,NORMAL,0
S02,34,29.79,51.77,1.97,10.0,2.55,402.28,20.96,32.5,33.04,0,,,-0.1111,8.0,NORMAL,0
S02,35,30.11,52.41,1.96,10.0,3.35,402.39,20.95,32.49,33.05,0,,,-0.0102,5.82,NORMAL,0
S02,36,29.87,51.13,1.92,10.0,3.03,397.6,20.83,32.46,33.05,0,,,-0.033,6.59,NORMAL,0
S02,37,30.17,51.76,1.95,10.0,2.63,404.56,20.8,32.55,33.18,0,,,0.0944,7.87,NORMAL,0
S02,38,29.93,51.56,2.03,10.0,1.1,406.49,20.88,32.33,33.01,0,,,-0.2217,10.41,NORMAL,0
S02,39,29.98,52.36,1.95,10.0,4.01,404.41,20.75,32.18,32.88,0,,,-0.149,9.19,NORMAL,0
S02,40,29.82,51.73,2.04,10.0,2.22,407.82,20.81,32.09,32.81,0,,,-0.0914,8.04,NORMAL,0
S02,41,30.08,51.94,2.09,10.0,3.65,398.11,20.9,31.89,32.64,0,,,-0.1973,9.5,NORMAL,0
S02,42,30.15,52.09,1.95,10.0,4.27,404.9,20.91,31.98,32.78,0,,,0.0905,7.74,NORMAL,0
S02,43,29.85,52.04,1.91,10.0,,391.12,20.89,32.06,32.91,0,,,0.0756,7.56,NORMAL,0
S02,44,29.79,52.38,1.88,10.0,4.68,407.81,20.98,32.02,32.92,0,,,-0.041,7.51,NORMAL,0
S02,45,30.08,52.04,2.16,10.0,5.04,399.54,20.88,31.9,32.86,0,,,-0.1115,8.43,NORMAL,0
S02,46,30.27,52.49,2.09,10.0,1.54,407.78,20.84,31.79,32.78,0,,,-0.1158,8.34,NORMAL,0
S02,47,30.05,51.81,2.0,10.0,3.38,399.73,20.87,,,0,,,0.1133,8.57,NORMAL,0
S02,48,30.05,51.83,1.97,10.0,,401.44,20.79,32.27,33.36,0,,,0.3649,14.13,NORMAL,0
S02,49,29.67,51.96,2.12,10.0,2.39,401.5,20.92,32.42,33.54,0,,,0.1512,10.34,NORMAL,0
S02,50,30.01,52.44,1.97,10.0,3.76,409.67,20.86,32.27,33.45,0,,,-0.1465,10.35,NORMAL,0
S02,51,29.79,51.91,2.09,10.0,3.19,402.44,20.89,32.28,33.52,20,24.16,25.15,0.013,8.03,NORMAL,0
S02,52,29.84,51.71,2.0,10.0,4.71,404.88,20.81,32.02,33.28,21,23.42,26.14,-0.2679,13.29,NORMAL,0
S02,53,30.14,52.22,2.07,10.0,3.28,402.64,20.85,31.97,33.27,21,23.25,25.86,-0.0423,8.3,NORMAL,0
S02,54,29.94,52.59,2.13,10.0,2.69,400.58,20.85,,,22,23.39,25.74,0.3408,14.8,NORMAL,0
S02,55,29.73,51.61,1.91,10.0,5.17,407.43,20.95,32.42,33.81,23,24.06,26.53,0.108,10.99,NORMAL,0
S02,56,30.0,51.51,2.08,10.0,3.69,404.06,20.84,32.5,33.93,24,24.54,26.94,0.0778,10.17,NORMAL,0
S02,57,30.11,52.61,1.95,10.0,3.04,401.05,20.82,32.76,34.26,26,24.83,26.09,0.2594,14.0,NORMAL,0
S02,58,29.5,52.44,2.13,10.0,2.46,404.93,20.84,32.72,34.28,27,24.15,26.21,-0.0416,10.41,NORMAL,0
S02,59,29.83,51.92,1.93,10.0,5.84,400.5,20.78,32.43,34.05,28,23.9,26.82,-0.2848,15.11,NORMAL,0
S02,60,30.05,51.63,1.94,10.0,4.65,406.84,20.87,32.16,33.83,30,24.23,26.67,-0.2771,14.56,NORMAL,0
S02,61,30.07,52.6,1.98,10.0,3.92,398.4,20.85,32.27,33.99,31,24.36,25.71,0.1094,11.18,NORMAL,0
S02,62,30.22,52.19,1.95,10.0,3.3,399.5,20.89,32.16,33.93,32,23.97,25.81,-0.1051,10.85,NORMAL,0
S02,63,30.34,51.85,2.01,10.0,3.16,397.15,20.84,31.97,33.81,33,23.39,26.56,-0.1936,12.53,NORMAL,0
S02,64,29.96,51.65,1.99,10.0,4.13,403.2,20.96,32.05,33.96,35,23.35,25.56,0.0858,11.12,NORMAL,0
S02,65,30.03,51.96,1.87,10.0,3.82,402.3,20.87,31.71,33.67,36,24.14,25.75,-0.3438,16.01,NORMAL,0
S02,66,29.98,52.62,1.93,10.0,3.12,404.46,20.81,31.55,33.57,38,23.89,25.93,-0.1552,12.38,NORMAL,0
S02,67,29.84,51.65,2.12,10.0,4.43,399.09,20.79,31.53,33.6,39,24.93,25.56,-0.0214,10.01,NORMAL,0
S02,68,30.18,51.9,2.07,10.0,6.58,407.61,20.9,31.88,34.01,41,25.03,26.36,0.3463,16.98,NORMAL,0
S02,69,29.93,51.36,2.1,10.0,2.9,402.09,20.87,32.28,34.47,42,24.35,27.7,0.4061,18.46,NORMAL,0
S02,70,29.94,51.88,2.14,10.0,4.65,405.99,20.94,32.15,34.4,44,23.75,26.63,-0.1307,13.26,NORMAL,0
S02,71,30.42,52.49,1.97,10.0,3.11,399.94,20.86,32.24,34.55,46,23.47,25.62,0.0833,11.8,NORMAL,0
S02,72,30.17,52.73,2.07,10.0,2.32,398.35,20.78,32.26,34.62,47,23.61,26.74,0.0184,10.96,NORMAL,0
S02,73,30.08,51.87,2.02,10.0,2.25,405.13,20.84,32.17,34.62,49,24.57,25.47,-0.0883,12.62,NORMAL,0
S02,74,29.91,51.37,1.98,10.0,5.15,398.29,20.83,32.03,34.56,51,23.9,26.43,-0.1343,13.87,NORMAL,0
S02,75,30.38,52.38,2.04,10.0,4.45,399.49,20.86,31.94,34.51,53,23.42,25.92,-0.0963,12.59,NORMAL,0
S02,76,29.9,52.07,2.1,10.0,1.84,403.47,20.73,31.91,34.55,55,24.79,25.73,-0.025,11.89,NORMAL,0
S02,77,29.37,51.92,1.78,10.0,5.38,403.27,20.88,31.95,34.65,57,24.16,26.08,0.0387,12.98,NORMAL,0
S02,78,30.02,52.08,2.05,10.0,3.34,408.58,20.87,32.01,34.8,59,24.16,26.25,0.0627,13.05,NORMAL,0
S02,79,30.02,51.56,2.01,10.0,4.02,407.91,20.88,32.11,34.97,61,23.44,25.85,0.0985,14.09,NORMAL,0
S02,80,30.44,51.82,1.95,10.0,4.89,403.27,20.79,32.36,35.28,63,23.64,26.31,0.2503,17.19,NORMAL,0
S02,81,30.25,51.39,2.0,10.0,3.84,402.69,20.87,32.38,35.35,65,24.38,25.61,0.017,12.63,NORMAL,0
S02,82,30.16,52.05,1.99,10.0,6.94,401.22,20.92,32.54,35.58,67,23.54,25.63,0.1583,16.1,NORMAL,0
S02,83,30.27,52.82,1.97,10.0,5.38,404.0,20.9,32.69,35.82,69,24.12,25.39,0.149,16.11,NORMAL,0
S02,84,29.67,52.41,2.04,10.0,4.76,406.5,20.88,32.95,36.18,72,23.42,25.6,0.2688,19.63,NORMAL,0
S02,85,29.89,52.3,2.01,10.0,3.87,402.73,20.92,33.01,36.29,74,24.51,26.56,0.0541,15.12,NORMAL,0
S02,86,30.11,52.16,2.0,10.0,2.23,398.46,20.9,33.07,36.43,77,25.23,25.73,0.0573,14.99,NORMAL,0
S02,87,30.08,51.95,2.07,10.0,4.33,404.92,20.83,33.22,36.65,79,23.05,26.53,0.1531,17.76,NORMAL,0
S02,88,29.93,52.39,1.92,10.0,5.03,409.61,20.84,33.67,37.18,82,24.31,25.66,0.4472,24.66,LOW,0
S02,89,29.89,52.35,2.04,10.0,4.12,407.19,20.96,33.97,37.56,84,23.93,25.49,0.3027,22.03,LOW,0
S02,90,30.4,52.01,2.07,10.0,4.3,404.1,20.8,34.13,37.8,87,24.22,26.44,0.16,19.12,NORMAL,0
S02,91,30.07,51.76,2.05,10.0,5.29,401.03,20.85,33.64,37.39,89,23.65,25.2,-0.4867,25.58,LOW,0
S02,92,29.73,52.06,2.0,10.0,1.72,397.13,20.85,33.72,37.53,92,24.54,25.56,0.0788,17.68,NORMAL,0
S02,93,30.36,52.59,1.98,10.0,6.52,412.44,20.97,33.55,37.45,95,24.13,26.09,-0.1734,19.79,NORMAL,0
S02,94,30.03,52.37,2.07,10.0,5.31,408.52,20.97,33.83,37.81,98,23.14,25.76,0.2832,22.55,LOW,0
S02,95,30.29,52.09,2.03,10.0,5.04,401.99,20.84,34.1,38.16,101,23.57,25.51,0.2649,22.25,LOW,0
